COUNTRY,LOCATION,SITE_NAME,LATITUDE,LONGITUDE,MONTH,YEAR,DEPTH,SEVERITY_CODE,PERCENT_BLEACHED,MORTALITY_CODE,PERCENT_MORTALITY,SURVEY_TYPE,SOURCE,NAME,CITATION,COMMENTS,ENTRY_CODE,DATABASE_CODE
Panama,Chiriqui Gulf ( Golfo de Chiriqui ),,8.0000,-82.3333,1,1983,20,3,100,NA,,,ReefBase,,,"May have caused local extinction of hydrozoans. The El Ni–o of 1982/3 which caused an anomalous warming of surface waters in the tropical Pacific Ocean, has been implicated. At least 10000 km_ have been affected. All Millepora hydrocorals and scleractinia",,1
Indonesia,Seribu Islands,,-5.5167,106.4833,3,1983,0-15,3,50,NA,,,ReefBase,,,"Soekarno (pers comm) found 72 species in 33 genera of scleractinian corals, Millepora platyphylla, M. dichotoma and some soft corals and sponges bleached on coral reefs of the Seribu Islands and the Kaimun Java Islands (off Central Java), Java Sea, from M",,1
Indonesia,Karimun Jawa,,-5.8667,110.3333,5,1983,15,-1,40,NA,,,ReefBase,,,"Extent Unspecified; Coral mortality reported. Also reported by Suharsono, 1994. Coral mortality reported.",,1
Panama,San Blas ( Kuna Yala ),,9.5500,-78.8667,6,1983,,3,99,NA,,,ReefBase,,,"Occurred on the shallow reef. Corals survived and regained coloration. Living coral cover at Sail Rock decreased by 20% and at House Reef by 35% (Lasker et al., 1984) Mortality",,1
Bahamas,Great Bahama Bank,,25.0000,-78.2000,9,1983,5 - 8 m,-1,90,NA,,,ReefBase,,,Unspecified Coral bleaching was reported at the Gingerbread Grounds. Corals other than Diploria strigosa appeared normal with no apparent change in the physical or biological conditions (Glynn 1984).,,1
Panama,Chiriqui Gulf ( Golfo de Chiriqui ),,8.0000,-82.3333,NA,1983,20,3,100,NA,,,ReefBase,,,"May have caused local extinction of hydrozoans. The El Ni–o of 1982/3 which caused an anomalous warming of surface waters in the tropical Pacific Ocean, has been implicated. At least 10000 km_ have been affected. All Millepora hydrocorals and scleractinia",,1
Panama,Contadora Island,,8.6167,-79.0500,NA,1983,,-1,22.7,NA,,,ReefBase,,,"The El Ni–o of 1982/3 which caused an anomalous warming of sea surface waters in the tropical Pacific Ocean, has been implicated as the cause of bleaching. At least 10000 km_ of reef area have been affected. Reported by Glynn (1983, 1984). ",,1
Panama,Secas Islands,,7.9500,-82.0167,NA,1983,,3,100,NA,,,ReefBase,,,"May have caused local extinction of the hydrozoan. The El Ni–o of 1982/3 which caused an anomalous warming of surface waters in the tropical Pacific Ocean, has been implicated. At least 10000km_ have been affected. All Millepora hydrocorals and scleractin",,1
Panama,Secas Islands,,7.9500,-82.0167,NA,1983,,3,50,NA,,,ReefBase,,,"Over 50% of reef corals, mainly Pocillopora were killed. The El Ni–o of 1982/3 which caused an anomalous warming of surface waters in the tropical Pacific Ocean, has been implicated. At least 10000km_ have been affected. All Millepora hydrocorals and scle",,1
Panama,Uva Island,,7.8167,-81.7667,NA,1983,,3,100,NA,,,ReefBase,,,"May have caused local extinction of the hydrozoan Millepora. The El Ni–o of 1982/3 which caused an anomalous warming of surface waters in the tropical Pacific Ocean, has been implicated. At least 10 000 km_ have been affected. All Millepora hydrocorals an",,1
Panama,Uva Island,,7.8167,-81.7667,NA,1983,20,3,100,NA,,,ReefBase,,,"May have caused local extinction of the hydrozoan Millepora. The El Ni–o of 1982/3 which caused an anomalous warming of surface waters in the tropical Pacific Ocean, has been implicated. At least 10 000 km_ have been affected. All Millepora hydrocorals an",,1
Ecuador,Galapagos Islands,,-0.6500,-90.3833,NA,1983,,3,95,NA,,,ReefBase,,,"Some 95% of the reefs of the reef corals are considered to have died and the Pocillopora reef at Onslow has been completely killed.  These events are linked to the 1982/3 El Ni–o, which caused an anomalous warming of the surface waters. Extensive bleachin",,1
Ecuador,Galapagos Islands,,-0.6500,-90.3833,NA,1983,,3,95,NA,,,ReefBase,,,"Some 95% of the reefs of the reef corals are considered to have died and the Pocillopora reef at Onslow has been completely killed linked to the 1982/3 El Ni–o, which caused an anomalous warming of the surface waters. Reported by Glynn (1983). Extensive b",,1
Kuwait,Umm al Maradim ( Umm al Maradem ),,28.6333,48.6500,NA,1985,0-7,-1,100,NA,,,ReefBase,,,Massive coral kill reported. Mortality,,1
Hawaiian Islands (USA),Hawaii,,18.3833,-154.6333,NA,1987,,3,80,NA,,,ReefBase,,, ,,1
Hawaiian Islands (USA),Maui Island,,20.8000,-156.3167,NA,1987,0.6 - 10.7,3,80,NA,,,ReefBase,,, ,,1
Bahamas,Great Inagua Island,,21.1500,-73.5167,NA,1987,20,-1,20,NA,,,ReefBase,,, ,,1
